Code,Name
1101,台泥
1102,亞泥
1103,嘉泥
1104,環泥
1107,建台(櫃)
1108,幸福
1109,信大
1110,東泥
1201,味全
1203,味王
1210,大成
1213,大飲
1215,卜蜂
1216,統一
1217,愛之味
1218,泰山
1219,福壽
1220,台榮
1225,福懋油
1227,佳格
1229,聯華
1231,聯華食
1232,大統益
1233,天仁
1234,黑松
1235,興泰
1236,宏亞
1256,F-鮮活(櫃)
1258,F-其祥(櫃)
1259,安心(櫃)
1262,F-綠悅
1301,台塑
1303,南亞
1304,台聚
1305,華夏
1307,三芳
1308,亞聚
1309,台達化
1310,台苯
1312,國喬
1313,聯成
1314,中石化
1315,達新
1316,上曜
1319,東陽
1321,大洋
1323,永裕
1324,地球
1325,恆大
1326,台化
1333,恩得利(櫃)
1336,台翰(櫃)
1337,F-再生
1338,F-廣華
1339,昭輝
1340,F-勝悅新
1402,遠東新
1409,新纖
1410,南染
1413,宏洲
1414,東和
1416,廣豐
1417,嘉裕
1418,東華
1419,新紡
1423,利華
1432,大魯閣
1434,福懋
1435,中福
1436,華友聯
1437,勤益
1438,裕豐
1439,中和
1440,南紡
1441,大東
1442,名軒
1443,立益
1444,力麗
1445,大宇
1446,宏和
1447,力鵬
1449,佳和
1451,年興
1452,宏益
1453,大將
1454,台富
1455,集盛
1456,怡華
1457,宜進
1459,聯發
1460,宏遠
1463,強盛
1464,得力
1465,偉全
1466,聚隆
1467,南緯
1468,昶和
1469,理隆
1470,大統染
1471,首利
1472,三洋紡
1473,台南
1474,弘裕
1475,本盟
1476,儒鴻
1477,聚陽
1503,士電
1504,東元
1506,正道
1507,永大
1512,瑞利
1513,中興電
1514,亞力
1515,力山
1516,川飛
1517,利奇
1519,華城
1521,大億
1522,堤維西
1524,耿鼎
1525,江申
1526,日馳
1527,鑽全
1528,恩德
1529,樂士
1530,亞崴
1531,高林股
1532,勤美
1533,車王電
1535,中宇
1536,和大
1537,廣隆
1538,正峰工
1539,巨庭
1540,喬福
1541,錩泰
1558,伸興(櫃)
1560,中砂
1565,精華(櫃)
1566,捷邦(櫃)
1568,倉佑
1569,濱川(櫃)
1570,力肯(櫃)
1580,新麥(櫃)
1582,信錦
1583,程泰
1584,精剛(櫃)
1586,和勤(櫃)
1589,F-永冠
1590,F-亞德
1591,F-駿吉(櫃)
1593,祺驊(櫃)
1595,川寶(櫃)
1597,直得(櫃)
1599,宏佳騰(櫃)
1603,華電
1604,聲寶
1605,華新
1608,華榮電
1609,大亞
1611,中電
1612,宏泰
1613,台一
1614,三洋電
1615,大山
1616,億泰
1617,榮星
1618,合機
1626,F-艾美
1701,中化
1702,南僑
1704,榮化
1707,葡萄王
1708,東鹼
1709,和益
1710,東聯
1711,永光
1712,興農
1713,國化
1714,和桐
1715,萬洲
1717,長興
1718,中纖
1720,生達
1721,三晃
1722,台肥
1723,中碳
1724,台硝
1725,元禎
1726,永記
1727,中華化
1729,必翔
1730,花仙子
1731,美吾華
1732,毛寶
1733,五鼎
1734,杏輝
1735,日勝化
1736,喬山
1737,台鹽
1742,台蠟(櫃)
1752,南光(櫃)
1762,中化生
1773,勝一
1777,生泰(櫃)
1781,合世(櫃)
1783,和康生
1784,訊聯(櫃)
1785,光洋科(櫃)
1786,科妍
1787,福盈科(櫃)
1788,杏昌(櫃)
1789,神隆
1795,美時(櫃)
1799,紅電醫(櫃)
1802,台玻
1805,寶徠建
1806,冠軍
1808,國賓大
1809,中釉
1810,和成
1813,寶利徠(櫃)
1815,富喬(櫃)
1817,凱撒衛
1902,台紙
1903,士紙
1904,正隆
1905,華紙
1906,寶隆
1907,永豐餘
1909,榮成
2002,中鋼
2006,東鋼
2007,燁興
2008,高興昌
2009,第一銅
2010,春源
2012,春雨
2013,中鋼構
2014,中鴻
2015,豐興
2017,官田鋼
2020,美亞
2022,聚亨
2023,燁輝
2024,志聯
2025,千興
2027,大成鋼 
2028,威致 
2029,盛餘 
2030,彰源
2031,新光鋼
2032,新鋼
2033,佳大
2034,允強
2035,唐榮(櫃)
2038,海光
2049,上銀
2059,川湖
2061,風青(櫃)
2062,橋椿
2063,世鎧(櫃)
2066,世德(櫃)
2067,嘉鋼(櫃)
2101,南港
2102,泰豐
2103,台橡
2104,中橡
2105,正新
2106,建大
2107,厚生
2108,南帝
2109,華豐
2114,鑫永詮
2115,F-六暉
2201,裕隆車
2204,中華車
2206,三陽車
2207,和泰車
2208,台船
2221,大甲(櫃)
2227,裕日車
2228,劍麟
2230,泰茂(櫃)
2231,為升
2233,宇隆(櫃)
2301,光寶科
2302,麗正
2303,聯電
2305,全友
2308,台達電
2311,日月光
2312,金寶
2313,華通
2314,台揚
2316,楠梓電
2317,鴻海
2321,東訊
2323,中環
2324,仁寶
2325,矽品
2327,國巨
2328,廣宇
2329,華泰
2330,台積電
2331,精英
2332,友訊
2337,旺宏
2338,光罩
2340,光磊
2342,茂矽
2344,華邦
2345,智邦
2347,聯強
2348,海悅
2349,錸德
2350,環電
2351,順德
2352,佳世達
2353,宏
2354,鴻準
2355,敬鵬
2356,英業達
2357,華碩
2358,廷鑫
2359,所羅門
2360,致茂
2361,鴻友
2362,藍天
2363,矽統
2364,倫飛
2365,昆盈
2367,燿華
2368,金像電
2369,菱生
2371,大同
2373,震旦行
2374,佳能
2375,智寶
2376,技嘉
2377,微星
2379,瑞昱
2380,虹光
2382,廣達
2383,台光電
2384,勝華
2385,群光
2387,精元
2388,威盛
2390,云辰
2392,正崴
2393,億光
2395,研華
2396,精碟
2397,友通
2399,映泰
2401,凌陽
2402,毅嘉
2404,漢唐
2405,浩鑫
2406,國碩
2408,南亞科
2409,友達
2412,中華電
2413,環科
2414,精技
2415,錩新
2417,圓剛
2419,仲琦
2420,新巨
2421,建準
2423,固緯
2424,隴華
2425,承啟
2426,鼎元
2427,三商電
2428,興勤
2429,銘旺
2430,燦坤
2431,聯昌
2433,互盛電
2434,統懋
2436,偉詮電
2437,旺詮
2438,英誌
2439,美律
2440,太空梭
2441,超豐
2442,新美齊
2443,新利虹
2444,友旺
2448,晶電
2449,京元電
2450,神腦
2451,創見
2453,凌群
2454,聯發科
2455,全新
2456,奇立新
2457,飛宏
2458,義隆電
2459,敦吉
2460,建通
2461,光群雷
2462,良得電
2463,研揚
2464,盟立
2465,麗臺
2466,冠西電
2467,志聖
2468,華經
2471,資通
2472,立隆電
2474,可成
2475,華映
2476,鉅祥
2477,美隆電
2478,大毅
2480,敦陽科
2481,強茂
2482,連宇
2483,百容
2484,希華
2485,兆赫
2486,一詮
2488,漢平
2489,瑞軒
2491,吉祥全
2492,華新科
2493,揚博
2495,普安
2496,卓越
2497,怡利電
2498,宏達電
2499,東貝
3002,歐格
3003,健和興
3004,豐達科
3005,神基
3006,晶豪科
3008,大立光
3009,奇美電
3010,華立
3011,今皓
3013,晟銘電
3014,聯陽
3015,全漢
3016,嘉晶
3017,奇鋐
3018,同開
3019,亞光
3021,鴻名
3022,威強電
3023,信邦
3024,憶聲
3025,星通
3026,禾伸堂
3027,盛達
3028,增你強
3029,零壹
3030,德律
3031,佰鴻
3032,偉訓
3033,威健
3034,聯詠
3035,智原
3036,文曄
3037,欣興
3038,全台
3040,遠見
3041,揚智
3042,晶技
3043,科風
3044,健鼎
3045,台灣大
3046,建
3047,訊舟
3048,益登
3049,和鑫
3050,鈺德
3051,力特
3052,夆典
3054,萬國
3055,蔚華科
3056,總太
3057,喬鼎
3058,立德
3059,華晶科
3060,銘異
3061,璨圓
3062,建漢
3064,泰偉(櫃)
3066,李洲(櫃)
3067,全域(櫃）
3068,美磊(櫃)
3069,台金礦(櫃)
3071,協禧(櫃)
3073,普格(櫃)
3078,僑威(櫃)
3083,網龍(櫃)
3085,久大(櫃)
3086,華義(櫃)
3087,翔準(櫃)
3088,艾訊(櫃)
3089,展成(櫃)
3090,日電貿
3092,鴻碩(櫃)
3093,港建(櫃)
3094,聯傑
3095,及成(櫃)
3099,頂倫(櫃)
3105,穩懋(櫃)
3114,好德(櫃)
3115,寶島極(櫃)
3118,進階(櫃)
3126,信億(櫃)
3128,昇銳(櫃)
3130,一零四
3131,弘塑(櫃)
3141,晶宏(櫃)
3144,新揚科(櫃)
3149,正達
3152,璟德(櫃)
3162,精確(櫃)
3163,波若威(櫃)
3164,景岳
3167,大量科
3169,亞信(櫃)
3171,新洲(櫃)
3176,基亞(櫃)
3188,安茂(櫃)
3189,景碩
3191,和進(櫃)
3202,樺晟(櫃)
3205,佰研(櫃)
3206,志豐(櫃)
3207,耀勝(櫃)
3209,全科
3211,順達科(櫃)
3213,茂訊(櫃)
3217,優群(櫃)
3218,大學光(櫃)
3219,倚強(櫃)
3221,台嘉碩(櫃)
3224,三顧(櫃)
3226,至寶電(櫃)
3227,原相(櫃)
3228,金麗科(櫃)
3229,晟鈦
3230,錦明(櫃)
3231,緯創
3232,昱捷(櫃)
3234,光環(櫃)
3236,千如(櫃)
3252,海灣科(櫃)
3257,虹冠
3259,鑫創(櫃)
3260,威剛(櫃)
3264,欣銓(櫃)
3265,台星科(櫃)
3266,昇陽(櫃)
3268,海德威(櫃)
3272,東碩(櫃)
3276,宇環(櫃)
3284,太普高(櫃)
3285,微端(櫃)
3287,廣寰科(櫃)
3288,點晶(櫃)
3289,宜特(櫃)
3290,東浦(櫃)
3291,達翔科(櫃)
3293,鈊象(櫃)
3294,英濟(櫃)
3296,勝德
3297,杭特(櫃)
3299,帛漢(櫃)
3303,岱稜(櫃)
3305,昇貿
3306,鼎天(櫃)
3308,聯德
3310,佳穎(櫃)
3311,閎暉
3312,弘憶股
3313,斐成(櫃)
3315,宣昶
3317,尼克森(櫃)
3322,建舜電(櫃)
3323,加百裕(櫃)
3324,雙鴻(櫃)
3325,旭品(櫃)
3332,幸康(櫃)
3338,泰碩(市)
3339,泰谷(櫃)
3354,律勝(櫃)
3356,奇偶
3360,尚立(櫃)
3362,先進光(櫃)
3363,上詮(櫃)
3369,鐵研(櫃)
3372,典範(櫃)
3373,熱映(櫃)
3376,新日興
3379,彬台(櫃)
3380,明泰
3383,新世紀
3388,崇越電(櫃)
3390,旭軟(櫃)
3402,漢科(櫃)
3406,玉晶光
3416,融程電(櫃)
3419,譁裕
3428,光燿科(櫃)
3431,長天(櫃)
3432,台端
3434,哲固(櫃)
3437,榮創
3438,類比科(櫃)
3441,聯一(櫃)
3443,創意
3444,利機(櫃)
3450,聯鈞
3452,益通(櫃)
3454,晶睿(櫃)
3455,由田(櫃)
3465,祥業(櫃)
3466,致振(櫃)
3474,華亞科
3475,富晶(櫃)
3479,安勤(櫃)
3481,群創
3483,力致(櫃)
3484,崧騰(櫃)
3489,森寶(櫃)
3490,單井(櫃)
3491,昇達科(櫃)
3494,誠研
3498,陽程(櫃)
3499,環天科(櫃)
3501,維熹
3504,揚明光
3508,位速(櫃)
3511,矽瑪(櫃)
3512,能緹(櫃)
3514,昱晶
3515,華擎
3516,亞帝歐(櫃)
3518,柏騰
3519,綠能
3520,振維(櫃)
3521,鴻翊(櫃)
3522,宏森(櫃)
3523,迎輝(櫃)
3526,凡甲(櫃)
3527,聚積(櫃)
3528,安馳(櫃)
3529,力旺(櫃)
3531,先益(櫃)
3532,台勝科
3533,嘉澤
3535,晶彩科
3536,誠創
3537,堡達(櫃)
3540,曜越(櫃)
3541,西柏(櫃)
3545,旭曜
3546,宇峻(櫃)
3548,兆利(櫃)
3550,聯穎
3551,世禾(櫃)
3552,同致(櫃)
3553,力積(櫃)
3555,擎泰(櫃)
3556,禾瑞亞(櫃)
3557,嘉威
3558,神準(櫃)
3559,全智科
3561,昇陽科
3562,頂晶科(櫃)
3563,牧德(櫃)
3564,其陽(櫃)
3567,逸昌(櫃)
3570,大塚(櫃)
3573,穎台
3576,新日光
3577,泓格(櫃)
3579,尚志
3580,友威(櫃)
3582,凌耀(櫃)
3583,辛耘
3584,介面
3587,閎康(櫃)
3588,通嘉
3591,艾笛森
3593,力銘
3594,磐儀(櫃)
3596,智易
3598,奕力
3599,旺能
3605,宏致
3607,谷崧
3609,東林(櫃)
3611,鼎翰
3615,安可(櫃)
3617,碩天
3622,洋華
3623,富晶通(櫃)
3624,光頡(櫃)
3625,西勝(櫃)
3628,盈正(櫃)
3629,卓韋(櫃)
3630,新鉅科(櫃)
3631,晟楠(櫃)
3632,研勤(櫃)
3637,鉅景(櫃)
3642,駿熠電(櫃)
3645,達邁
3646,艾恩特(櫃)
3652,精聯(櫃)
3653,健策
3658,漢微科(櫃)
3662,樂陞(櫃)
3663,鑫科(櫃)
3664,F-安瑞(櫃)
3665,F-貿聯
3669,圓展
3673,F-TPK宸鴻
3675,德微(櫃)
3679,新至陞
3680,家登(櫃)
3682,亞太
3684,榮昌(櫃)
3685,政翔(櫃)
3686,達能
3687,歐買尬(櫃)
3689,湧德(櫃)
3691,碩禾(櫃)
3693,營邦(櫃)
3694,海華
3698,隆達
3701,大眾控
3702,大聯大
3703,欣陸
3704,合勤控
3705,永信控
3706,神達控
2501,國建
2504,國產
2505,國揚
2506,太設
2509,全坤興
2511,太子
2514,龍邦
2515,中工
2516,新建
2520,冠德
2524,京城
2528,皇普
2530,華建
2534,宏盛
2527,宏璟
2535,達欣工
2536,宏普
2537,聯上發
2538,基泰
2539,櫻花建
2540,愛山林
2542,興富發
2543,皇昌
2545,皇翔
2546,根基
2547,日勝生
2548,華固
2596,綠意(櫃)
2597,潤弘
2601,益航
2603,長榮
2605,新航
2606,裕民
2607,榮運
2608,大榮
2609,陽明
2610,華航
2611,志信
2612,中航
2613,中櫃
2614,東森
2615,萬海
2616,山隆
2617,台航
2618,長榮航
2634,漢翔
2636,台驊(櫃)
2637,F-慧洋
2640,大車隊(櫃)
2642,宅配通
2701,萬企
2702,華園
2704,國賓
2705,六福
2706,第一店
2707,晶華
2712,遠雄來
2718,桃園店(櫃)
2719,燦星(櫃)
2722,夏都
2723,F-美食
2724,F-富驛(櫃)
2727,王品
2729,瓦城(櫃)
2731,雄獅
2734,易飛網(櫃)
2801,彰銀
2809,京城銀
2812,台中銀
2816,旺旺保
2820,華票
2823,中壽
2832,台產
2833,台壽保
2834,台企銀
2836,高雄銀
2837,萬泰銀
2838,聯邦銀
2841,台開
2845,遠東銀
2847,大眾銀
2849,安泰銀
2850,新產
2851,中再保
2852,第一保
2855,統一證
2856,元富證
2867,三商壽
2880,華南金
2881,富邦金
2882,國泰金
2883,開發金
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新金
2888,新光金
2889,國票金
2890,永豐金
2891,中信金
2892,第一金
2901,欣欣
2903,遠百
2904,匯僑
2905,三商行
2906,高林
2908,特力
2910,統領
2911,麗嬰房
2912,統一超
2913,農林
2915,潤泰全
2916,滿心(櫃)
2923,F-鼎固
2924,F-東凌(櫃)
2926,誠品(櫃)
2929,淘帝
9802,F-鈺齊
9902,台火
9904,寶成
9905,大華
9906,欣巴巴
9907,統一實
9908,大台北
9910,豐泰
9911,櫻花
9912,偉聯
9914,美利達
9917,中保
9918,欣天然
9919,康那香
9921,巨大
9924,福興
9925,新保
9926,新海
9927,泰銘
9928,中視
9929,秋雨
9930,中聯資
9931,欣高
9933,中鼎
9934,成霖
9935,慶豐富
9937,全國
9938,百和
910861,神州
910948,融達
911201,僑威控
911608,明輝
911609,揚子江
911611,中泰山
911612,滬安電
911613,特藝(櫃)
911616,杜康控
911619,HISAKA
911622,泰聚亨
911626,華運
911868,真明麗
912000,晨訊
912398,友佳
913889,大成糖
9939,宏全
9940,信義
9941,裕融
9942,茂順
9943,好樂迪
9944,新麗
9945,潤泰新
9946,三發
9949,琉園(櫃)
9950,萬國通(櫃)
9951,皇田(櫃)
9955,佳龍
9958,世紀綱
9960,邁達康(櫃)
9962,有益(櫃)
9103,美德醫
9104,萬宇科
9105,泰金寶
9106,新焦點
9110,越南
9136,巨騰
9157,陽光能
9188,精熙
910069,新曄
910322,康師傅
910482,聖馬丁
910579,歐聖
910708,新傳媒
910801,金衛醫
